outcome,label,gestational_week,n_scans,n_patients,mean_temporal_attention,sd_temporal_attention,mean_maternal_to_temporal_attention,mean_probability
ongoing,0,5,8,8,0.090015768634074,0.22145189229994655,0.3757551908493042,0.06803119910182431
ongoing,0,6,42,42,0.04277131352364533,0.17053663354329618,0.41537065289559816,0.07928934588978466
ongoing,0,7,49,49,0.050604154897033966,0.14660366809457673,0.3892561373661976,0.012212180956599436
ongoing,0,8,43,43,0.49013145846542117,0.4302901899402505,0.3540022288297498,0.058453096407140755
ongoing,0,9,47,47,0.4121567046416432,0.3763354676617039,0.32297346312949,0.01863467322905211
ongoing,0,10,28,27,0.5227097614593207,0.3493448733941686,0.3097656624657767,0.05043113189770208
ongoing,0,11,30,30,0.6936410629500945,0.27253785978887407,0.2777898028492928,0.028627211024286225
ongoing,0,12,12,12,0.6410924698357121,0.34006060616888517,0.2643850694100062,0.0715962444228353
ongoing,0,13,9,9,0.3694447396943967,0.3784483138803338,0.19438733822769588,0.0006983548777902292
ongoing,0,14,5,5,0.21872802602592856,0.4369014095510177,0.22875045835971833,0.0009148167620878667
loss,1,6,17,17,0.10066007304817991,0.2243838209844711,0.39190340480383706,0.8403888279298211
loss,1,7,12,12,0.08711650989673814,0.2570605714639199,0.298753868167599,0.9485990802447001
loss,1,8,12,12,0.34451015967763604,0.4238063662317202,0.363923874994119,0.77276261713511
loss,1,9,14,14,0.41069480232415245,0.35837313143649774,0.2955606696861131,0.9877514924321856
loss,1,10,12,11,0.4567051411916812,0.3728631897328257,0.32017435133457184,0.7404177394152308
loss,1,11,8,8,0.5392322490515653,0.3466971053438944,0.3882485702633858,0.9767545536160469
loss,1,12,6,6,0.5575597509741783,0.28909285457818057,0.29041514297326404,0.9993751545747122
loss,1,13,2,2,0.5612043142318726,0.17906585922665758,0.33382977545261383,0.9989771842956543
loss,1,14,3,3,0.6991480986277262,0.2591888928473969,0.2964761058489482,0.9470948775609335
