outcome,gestational_week,mean_temporal_attention,mean_maternal_to_time,n_scans
loss,6,0.16802639657961252,0.44339020813212676,17
loss,7,0.025982887579801578,0.3945290098587672,12
loss,8,0.3065158818362761,0.3599795773625374,12
loss,9,0.2519080188997445,0.32566229573317934,14
loss,10,0.44617129203591804,0.3058905514578025,12
loss,11,0.5899481963715516,0.22765231039375067,8
loss,12,0.6576459496282041,0.24021967748800913,6
loss,13,0.8978369235992432,0.1927759051322937,2
loss,14,0.9372210105260214,0.17673879861831665,3
ongoing,5,1.4323031225326454e-05,0.30971208214759827,8
ongoing,6,0.035072006561157346,0.40299266470330103,42
ongoing,7,0.024325979219808013,0.3802439856285952,49
ongoing,8,0.4140922131571825,0.3998300866332165,43
ongoing,9,0.30921871817936447,0.3604859538534854,47
ongoing,10,0.6006386503959545,0.2959672877831118,28
ongoing,11,0.5487295841793336,0.24704089462757112,30
ongoing,12,0.9064764226398742,0.2133284118026495,12
ongoing,13,0.9909495777553983,0.19791165159808266,9
ongoing,14,0.9839218974113464,0.15793316513299943,5
