edge_type,clinical_group,relationship,mean_attention,sd_attention,n
physiological,primary_rationale,CRL->GS,0.25400002059996296,0.08499972937385808,359
maternal->US,maternal_to_us,previous_loss->YSD,0.19568788463607803,0.05221246387086726,359
temporal,temporal_same_variable,CRL->CRL,0.1905134376059856,0.08041708224653181,474
physiological,additional_physio,CRL->FHR,0.18577958983797216,0.07403809271539147,359
maternal->US,maternal_to_us,age->YSD,0.18355716314571482,0.050491886292718786,359
physiological,additional_physio,FHR->YSD,0.17004318848708877,0.07656759525235678,359
maternal->US,maternal_to_us,previous_loss->GS,0.16107381102019366,0.03795067836942111,359
temporal,temporal_same_variable,YSD->YSD,0.15597294780272472,0.051465943676352696,474
maternal->US,maternal_to_us,age->GS,0.14347517729054587,0.038063157400463815,359
physiological,primary_rationale,YSD->GS,0.13114256839317198,0.029076445135767945,359
maternal->US,maternal_to_us,bmi->YSD,0.12238932863749502,0.04123229852968676,359
physiological,additional_physio,GS->YSD,0.12238600708980082,0.047246250830825044,359
maternal->US,maternal_to_us,previous_loss->FHR,0.11993403201481757,0.02762956800588154,359
maternal->US,maternal_to_us,age->CRL,0.11385839999054136,0.033439304982523614,359
maternal->US,maternal_to_us,previous_loss->CRL,0.11039760725411864,0.029342944100793626,359
maternal->US,maternal_to_us,age->FHR,0.11011770301210515,0.028401672974052748,359
physiological,additional_physio,YSD->FHR,0.1075965847228563,0.019242128979607653,359
maternal->US,maternal_to_us,gravidity->FHR,0.10083898493091376,0.03589535034302434,359
maternal->US,maternal_to_us,parity->CRL,0.0999567752346023,0.05046949140303312,359
temporal,temporal_same_variable,GS->GS,0.09979968640623213,0.03227223463810536,474
physiological,primary_rationale,FHR->CRL,0.09971506574027718,0.052827721966265784,359
maternal->US,maternal_to_us,parity->FHR,0.09844738861395456,0.04181345850363871,359
maternal->US,maternal_to_us,bmi->GS,0.09718797855016913,0.031705780304052994,359
maternal->US,maternal_to_us,gravidity->CRL,0.09414624780790055,0.04076630390604034,359
temporal,temporal_same_variable,FHR->FHR,0.09366299797493949,0.041535954907223484,474
physiological,additional_physio,GS->CRL,0.0834927541777118,0.03031781129673293,359
maternal->US,maternal_to_us,bmi->FHR,0.08234127434515355,0.022851085039003984,359
maternal->US,maternal_to_us,conception_ivf->GS,0.0813514974206935,0.01530806235035454,359
maternal->US,maternal_to_us,bmi->CRL,0.07871498916723602,0.02823261555546206,359
maternal->US,maternal_to_us,conception_ivf->FHR,0.07127798008304452,0.010683575977498512,359
maternal->US,maternal_to_us,conception_ivf->CRL,0.06817674127337328,0.012815335962315063,359
