node_family,node_feature,mean_importance,sd_importance,max_importance,n_observations,n_patients
temporal,FHR,0.22828917009227398,0.2732861025617761,0.910530149936676,359,122
temporal,YSD,0.06134683983128072,0.08563725782533786,0.4983004033565521,359,122
maternal,singleton,0.040017080264257605,0.03913015509577908,0.20493608713150024,122,122
maternal,gravidity,0.03009022403790875,0.03220907733729331,0.1503879874944687,122,122
temporal,GS,0.01890205910972846,0.021770420020581542,0.2213301658630371,359,122
maternal,conception_ivf,0.003632771586961128,0.003609743560851278,0.017797963693737984,122,122
maternal,previous_loss,0.003218762346850632,0.003279657436455548,0.01668025366961956,122,122
maternal,bmi,0.0029697339962948435,0.004116016504866508,0.03582986816763878,122,122
temporal,CRL,0.002904548360695375,0.0052197592112929484,0.05400365963578224,359,122
maternal,age,0.0022030902642863576,0.0028375587727532472,0.01653716340661049,122,122
maternal,parity,0.0014101395790334448,0.003270786348325879,0.03269272297620773,122,122
